,Topic,Count,Name,Representation,keyBERT,mmr,combined,zephyr,Representative_Docs
15,14,38,14_title_federal_assistance_title ix,"['title', 'federal', 'assistance', 'title ix', 'ix', 'recipient', 'federal financial', 'financial assistance', 'federal financial assistance', 'financial']","['title ix regulations', 'ix regulations', 'title ix common rule', 'federal assistance', 'receiving federal', 'federal financial assistance', 'title ix common', 'title ix', 'statutes', 'discriminatory', 'ix common rule', 'discrimination', 'regulations', 'recipient shall', 'civil rights', 'financial assistance', 'federal', 'federal funds', 'section 504', 'compliance', 'federal financial', 'federal government', 'rights', 'ix', 'recipient', 'recipients', 'ix common', 'applicant', 'education program', 'property']","['title', 'federal', 'assistance', 'title ix', 'ix', 'recipient', 'federal financial', 'financial assistance', 'federal financial assistance', 'financial']","['title ix regulations', 'ix regulations', 'title ix common rule', 'receiving federal', 'federal financial assistance', 'title ix common', 'title ix', 'ix common rule', 'civil rights', 'section 504']","['\n        Title IX Recipient Financial Assistance', '', '', '', '', '', '', '', '', '']",
16,15,37,15_party_106_department_witness,"['party', '106', 'department', 'witness', '2021', 'party witness', '45', '106 45', 'hearing', 'regulations']","['mass july 28 2021 appeals', 'appeals', 'witness does cross examination', 'party witness does cross examination', 'witness does cross examination live', 'does cross examination live hearing', 'enforce', 'witness', 'law', 'witness does cross', 'party witness', 'party witness does cross', 'hearing', 'responsibility victim', 'regarding responsibility', 'live hearing', '45 party witness does cross', 'regulations', 'reaching determination regarding responsibility', 'determination regarding responsibility', 'rights', 'determination regarding', 'does cross examination live', 'cross examination', 'does cross examination', 'reaching determination regarding', 'responsibility', 'federal', 'law center et al cardona', 'determination']","['party', '106', 'department', 'witness', '2021', 'party witness', '45', '106 45', 'hearing', 'regulations']","['mass july 28 2021 appeals', 'witness does cross examination', 'party witness does cross examination', 'witness does cross examination live', 'does cross examination live hearing', 'witness does cross', '45 party witness does cross', 'reaching determination regarding responsibility', 'does cross examination live', 'cross examination']","['\n        Label: Final Regulations for Cross-Examination of Party Witnesses in Hearings Under Title IX', '', '', '', '', '', '', '', '', '']",
17,16,34,16_title_ix_title ix_complainant,"['title', 'ix', 'title ix', 'complainant', 'coordinator', '106', 'ix coordinator', 'title ix coordinator', 'formal', 'recipient']","['title ix coordinator', 'ix coordinator', 'title ix', 'formal complaint', 'regarding responsibility victim rights', 'responsibility victim rights law center', 'reaching determination regarding responsibility victim', 'harassment', 'regarding responsibility victim', 'grievance', 'complaint', 'complainant', 'ix', 'sexual harassment', 'final regulations', 'mass july 28 2021 appeals', 'appeals', 'responsibility victim', 'regarding responsibility', 'regulations', 'rights', 'reaching determination regarding responsibility', 'determination regarding responsibility', 'statement party witness', 'rely statement party witness', 'victim', 'responsibility', 'coordinator', 'law center et al cardona', 'witness does']","['title', 'ix', 'title ix', 'complainant', 'coordinator', '106', 'ix coordinator', 'title ix coordinator', 'formal', 'recipient']","['title ix coordinator', 'formal complaint', 'regarding responsibility victim rights', 'responsibility victim rights law center', 'reaching determination regarding responsibility victim', 'grievance', 'sexual harassment', 'final regulations', 'mass july 28 2021 appeals', 'statement party witness']","['\n        Title IX Coordinator Responsibilities', '', '', '', '', '', '', '', '', '']",
18,17,33,17_institution_higher education_higher_section,"['institution', 'higher education', 'higher', 'section', 'education', 'board', 'institution higher education', 'institution higher', 'student', 'shall']","['texas higher education coordinating', 'texas higher education coordinating board', 'texas higher education', 'enrolled', 'higher education coordinating board', 'higher education coordinating', 'student', 'education coordinating board', 'general academic teaching institution', 'institution higher education', 'texas higher', 'courses', 'education coordinating', 'required section', 'institution higher', 'student regent', 'college', 'higher education', 'academic teaching institution', 'assigned section 61', 'assigned section 61 003', 'applicants', 'teaching institution', 'board institution', 'general academic teaching', 'academic teaching', 'selective service status', 'section 61 003', 'meaning assigned section', 'compliance']","['institution', 'higher education', 'higher', 'section', 'education', 'board', 'institution higher education', 'institution higher', 'student', 'shall']","['texas higher education coordinating', 'texas higher education coordinating board', 'enrolled', 'higher education coordinating board', 'education coordinating board', 'general academic teaching institution', 'institution higher education', 'courses', 'required section', 'meaning assigned section']","['\n        Label: Institutional Policies for Student Absences and Equity Ownership in Higher Education', '', '', '', '', '', '', '', '', '']",
19,18,31,18_harassment_employer_housing_sexual,"['harassment', 'employer', 'housing', 'sexual', 'supervisor', 'eeoc', 'employment', 'employee', 'charges', 'sexual harassment']","['harassment charges', 'harassment supervisors', 'unlawful harassment', 'harassment', 'liability harassment', 'correct harassment', 'sexual harassment charges', 'sexual harassment', 'discrimination', 'employment action', 'discriminatory', 'complaint procedure', 'employer liability', 'tangible employment action', 'harasser', 'retaliation', 'conduct', 'affirmative defense', 'employer', 'plaintiff', 'statutes', 'employment', 'employee', 'employers', 'complaint', 'alleged', 'supervisors', 'hostile', 'fair housing', 'workplace']","['harassment', 'employer', 'housing', 'sexual', 'supervisor', 'eeoc', 'employment', 'employee', 'charges', 'sexual harassment']","['harassment charges', 'harassment supervisors', 'unlawful harassment', 'harassment', 'liability harassment', 'correct harassment', 'sexual harassment charges', 'sexual harassment', 'discrimination', 'employment action']","['\n        Label: Employer Liability for Harassment by Supervisors and Housing Discrimination', '', '', '', '', '', '', '', '', '']",
20,19,27,19_ferpa_information_department_records,"['ferpa', 'information', 'department', 'records', 'directly', 'student', 'party', 'regulations', 'title', 'act']","['related allegations raised formal complaint', 'allegations raised formal complaint', 'directly related allegations raised formal', 'related allegations raised formal', 'harassment', 'education records', 'directly related allegations', 'education record', 'directly related allegations raised', 'ferpa', 'related allegations', 'disclose', 'allegations raised formal', 'related allegations raised', 'raised formal complaint', 'disclosure', 'written consent', 'allegations', 'formal complaint', 'investigation', 'final regulations', 'regulations', 'allegations raised', 'title ix', 'complaint', 'consent', 'information', 'evidence', 'appeals', 'law']","['ferpa', 'information', 'department', 'records', 'directly', 'student', 'party', 'regulations', 'title', 'act']","['related allegations raised formal complaint', 'allegations raised formal complaint', 'directly related allegations raised formal', 'related allegations raised formal', 'education records', 'directly related allegations', 'directly related allegations raised', 'disclose', 'related allegations raised', 'title ix']","['\n        FERPA Compliance in Student Disciplinary Proceedings', '', '', '', '', '', '', '', '', '']",
21,20,26,20_pharmacy_review_health_pharmacy benefits,"['pharmacy', 'review', 'health', 'pharmacy benefits', 'external', 'pharmacy benefits manager', 'benefits manager', 'external review', 'independent review', 'care']","['covered person authorized', 'final adverse determination', 'adverse determination final adverse determination', 'external review', 'determination final adverse determination', 'independent review organization shall', 'covered person authorized representative', 'adverse determination final adverse', 'adverse determination', 'determination final adverse', 'health care service treatment', 'independent review', 'review organization shall', 'adverse determination final', 'care service treatment', 'coverage', 'health care service', 'independent review organization', 'clinical', 'health care', 'service treatment', 'health carrier', 'prescription', 'final adverse', 'review organization', 'insurance', 'adverse', 'review', 'medical', 'treatment']","['pharmacy', 'review', 'health', 'pharmacy benefits', 'external', 'pharmacy benefits manager', 'benefits manager', 'external review', 'independent review', 'care']","['adverse determination final adverse determination', 'independent review organization shall', 'covered person authorized representative', 'adverse determination final adverse', 'determination final adverse', 'health care service treatment', 'coverage', 'prescription', 'final adverse', 'adverse']","['\n        Pharmacy Benefits Manager External Review', '', '', '', '', '', '', '', '', '']",
22,21,23,21_sex_single sex_single_school,"['sex', 'single sex', 'single', 'school', 'title', 'substantially', 'ix', 'title ix', 'extracurricular', 'classes']","['class extracurricular', 'single sex classes', 'classes extracurricular', 'class extracurricular activity', 'classes extracurricular activities', 'sex classes', 'extracurricular', 'extracurricular activity', 'extracurricular activities', 'single sex class', 'sex class', 'classes', 'title ix', 'students', 'title ix resource', 'title ix resource guide', 'athletics', 'single sex', 'available http www ed gov', 'members sex', 'class', 'athletic', 'educational', 'http www ed gov', 'ix resource', 'www ed gov', 'www ed', 'ix', 'available http www ed', 'nonvocational']","['sex', 'single sex', 'single', 'school', 'title', 'substantially', 'ix', 'title ix', 'extracurricular', 'classes']","['class extracurricular', 'single sex classes', 'classes extracurricular', 'class extracurricular activity', 'classes extracurricular activities', 'extracurricular', 'extracurricular activity', 'extracurricular activities', 'title ix resource', 'available http www ed gov']","['\n        Label: Title IX Compliance for Single-Sex Classes and Extracurricular Activities', '', '', '', '', '', '', '', '', '']",
23,22,21,22_ch_leg ch_leg_credit,"['ch', 'leg ch', 'leg', 'credit', 'acts', 'sec', 'course', 'eff', 'education', 'institution']","['semester credit', 'semester credit hours', 'institution higher education', 'semester term', 'higher education', 'semester', 'courses', 'institution higher', 'course credit', 'developmental', 'student', 'undergraduate', 'admission', 'degree plan', 'academic', 'college', 'education', 'coursework', 'common admission', 'institution', 'admission application', 'common admission application form use', 'admission application form use', 'common admission application', 'credit hours', 'freshman', 'degree', 'person seeking admission', 'use person seeking admission', 'section']","['ch', 'leg ch', 'leg', 'credit', 'acts', 'sec', 'course', 'eff', 'education', 'institution']","['semester credit', 'semester credit hours', 'institution higher education', 'semester', 'courses', 'course credit', 'undergraduate', 'admission', 'common admission', 'admission application']","['\n        Label: Texas Higher Education Developmental Coursework Funding', '', '', '', '', '', '', '', '', '']",
24,23,21,23_google_chrome_cloud_firefox,"['google', 'chrome', 'cloud', 'firefox', 'service', 'terms service', 'data', 'terms', 'translate', 'browser']","['service downloading chrome agree google', 'google terms service chrome chromeos', 'downloading chrome agree google terms', 'downloading chrome agree google', 'chromeos additional terms service', 'terms service chrome chromeos', 'chromeos additional terms service downloading', 'additional terms service downloading chrome', 'google terms service chrome', 'agree google terms service chrome', 'chrome chromeos additional terms service', 'service chrome chromeos additional terms', 'terms service downloading chrome agree', 'terms service chrome chromeos additional', 'terms service chrome', 'chromeos additional terms', 'chrome agree google terms', 'terms service downloading chrome', 'chrome agree google terms service', 'service downloading chrome agree', 'service chrome', 'chrome chromeos additional terms', 'google cloud', 'downloading chrome agree', 'chrome agree google', 'google chrome', 'downloading chrome', 'service chrome chromeos', 'service downloading chrome', 'service chrome chromeos additional']","['google', 'chrome', 'cloud', 'firefox', 'service', 'terms service', 'data', 'terms', 'translate', 'browser']","['service downloading chrome agree google', 'google terms service chrome chromeos', 'downloading chrome agree google terms', 'chromeos additional terms service', 'chromeos additional terms service downloading', 'additional terms service downloading chrome', 'agree google terms service chrome', 'terms service downloading chrome agree', 'terms service chrome', 'terms service downloading chrome']","['\n        Google Cloud Services Terms of Service Data & Privacy Policy Translate Browser', '', '', '', '', '', '', '', '', '']",
25,24,21,24_ix_title ix_title_coordinator,"['ix', 'title ix', 'title', 'coordinator', 'title ix coordinator', 'ix coordinator', 'coordinators', 'ocr', 'ix coordinators', 'title ix coordinators']","['title ix coordinators', 'title ix coordinator', 'title ix resource', 'title ix resource guide', 'title ix', 'ix coordinators', 'ix coordinator', 'ix resource guide', 'ix resource', 'ix', 'document formally rescinded department', 'document formally rescinded department remains', 'rescinded department', 'rescinded document formally rescinded department', 'formally rescinded department', 'coordinator', 'available http www ed gov', 'rescinded department remains available web', 'formally rescinded department remains available', 'compliance', 'civil rights', 'coordinators', 'www ed gov', 'rescinded department remains available', 'http www ed gov', 'formally rescinded department remains', 'harassment', 'ed gov', 'rescinded department remains', 'discrimination']","['ix', 'title ix', 'title', 'coordinator', 'title ix coordinator', 'ix coordinator', 'coordinators', 'ocr', 'ix coordinators', 'title ix coordinators']","['title ix coordinators', 'ix resource guide', 'document formally rescinded department', 'document formally rescinded department remains', 'formally rescinded department', 'rescinded department remains available web', 'formally rescinded department remains available', 'rescinded department remains available', 'formally rescinded department remains', 'rescinded department remains']","['\n        Title IX Compliance: Role of the Title IX Coordinator', '', '', '', '', '', '', '', '', '']",
